date,name,symbol,text,time,title,tweet_id,user_id,user_name
06-10-2016,Daniel Barrett,AUPH,$AUPH Eat 💩 Bears 🐻,19:47:40,Aurinia Pharmaceuticals Inc.,64199437.0,720914,DB868
06-10-2016,BryanU,AUPH,$AUPH shake it AUPH bears and make sure you cover by 4pm,19:47:37,Aurinia Pharmaceuticals Inc.,64199433.0,849508,BearRugManufacturer
06-10-2016,Jon Lilie,AUPH,$AUPH easy overnight hold. Man this is fun when that works out.,19:47:31,Aurinia Pharmaceuticals Inc.,64199413.0,768861,jonlilie
06-10-2016,101camshaft,AUPH,$AUPH To all of you out there WATCHING hard......This stock has no place to go but UPPPPPPP,19:47:27,Aurinia Pharmaceuticals Inc.,64199398.0,834192,101camshaft
06-10-2016,Silkysmooth,AUPH,$AUPH Do you have a link?,19:47:22,Aurinia Pharmaceuticals Inc.,64199383.0,841235,silkysmooth
06-10-2016,Gleb M,AUPH,$AUPH,19:47:11,Aurinia Pharmaceuticals Inc.,64199352.0,592194,whoisgleb
06-10-2016,Michael B,AUPH,$AUPH Now let&#39;s really send them on there way. That&#39;s how we make money buy on dips and hold.Great company,19:47:09,Aurinia Pharmaceuticals Inc.,64199345.0,810400,mblizzy85
06-10-2016,Aka Budfoxwallst,AUPH,"$AUPH 3,2,1...",19:47:07,Aurinia Pharmaceuticals Inc.,64199341.0,693421,SirLarryWildman
06-10-2016,WhereWolf34,AUPH,$AUPH why would anyone short this stock?,19:47:05,Aurinia Pharmaceuticals Inc.,64199337.0,822142,wherewolf34
06-10-2016,Silkysmooth,AUPH,$AUPH,19:46:54,Aurinia Pharmaceuticals Inc.,64199314.0,841235,silkysmooth
06-10-2016,Thomas Robertson,AUPH,$AUPH CEO announces tender offer,19:46:52,Aurinia Pharmaceuticals Inc.,64199306.0,827337,MarketMaker2016
06-10-2016,AnonymousInvester,AUPH,$AUPH 😂😂,19:46:50,Aurinia Pharmaceuticals Inc.,64199303.0,679503,AnonymousInvester
06-10-2016,Terica,AUPH,$AUPH Short interest is only 2.71% so 97.29% are longs!!!,19:46:46,Aurinia Pharmaceuticals Inc.,64199291.0,839523,Terica1
06-10-2016,Jay Arya,AUPH,$AUPH hodor hodor hold the door,19:46:39,Aurinia Pharmaceuticals Inc.,64199278.0,561071,FromRockstoStocks
06-10-2016,Martacus,AUPH,$AUPH It looks like they just can&#39;t &quot;Bear&quot; it...,19:46:37,Aurinia Pharmaceuticals Inc.,64199270.0,853993,NoIamSpartacus
06-10-2016,Leo Bone,AUPH,"$AUPH BLOCKED! Hate dumb trolls... At least make sense, which then I can put up with it.",19:46:21,Aurinia Pharmaceuticals Inc.,64199232.0,831055,Profecta
06-10-2016,BryanU,AUPH,$AUPH bears getting blocked.  This is great.,19:46:21,Aurinia Pharmaceuticals Inc.,64199230.0,849508,BearRugManufacturer
06-10-2016,Raymond El Hajj,AUPH,$AUPH actually they are in Muddy grounds....,19:46:13,Aurinia Pharmaceuticals Inc.,64199203.0,840867,Raymo
06-10-2016,Aka Budfoxwallst,AUPH,$AUPH ohhh yeah,19:45:59,Aurinia Pharmaceuticals Inc.,64199167.0,693421,SirLarryWildman
06-10-2016,Soulbrotha,AUPH,$AUPH Selling into this thing is like pissing into Hurricane Mathew,19:45:53,Aurinia Pharmaceuticals Inc.,64199153.0,841693,soulbrotha
06-10-2016,Shahrier Mohammed,AUPH,$AUPH WINTER IS COMING !!!!!!!!! GET WHT YOU CAN BEARS AND COVER UP..HIBERNATION IS NEAR,19:45:53,Aurinia Pharmaceuticals Inc.,64199152.0,837785,Decipher
06-10-2016,Daniel Barrett,AUPH,$AUPH over 30 million,19:45:51,Aurinia Pharmaceuticals Inc.,64199146.0,720914,DB868
06-10-2016,Brian Williams,AUPH,$AUPH Most actively traded on the NASDAQ today. Of course it brings people who haven&#39;t done DD. Read up and enjoy people 👍🏻📈,19:45:48,Aurinia Pharmaceuticals Inc.,64199140.0,850691,LostAvenueLLC
06-10-2016,m layne,AUPH,$AUPH i need some freakin beer. my nerves are shot,19:45:40,Aurinia Pharmaceuticals Inc.,64199126.0,543008,mlayne
06-10-2016,Rob Lowe,AUPH,$AUPH tomorrows crbp,19:45:31,Aurinia Pharmaceuticals Inc.,64199103.0,618788,Lowe_Capital
06-10-2016,Michael B,AUPH,$AUPH Push it bears are on unstable ground here.,19:45:23,Aurinia Pharmaceuticals Inc.,64199080.0,810400,mblizzy85
06-10-2016,Aka Budfoxwallst,AUPH,$AUPH lets rock 🤘🤘🤑🤑🤑,19:45:11,Aurinia Pharmaceuticals Inc.,64199055.0,693421,SirLarryWildman
06-10-2016,Shahrier Mohammed,AUPH,$AUPH 5.10 NEW HOLD``~~~,19:45:05,Aurinia Pharmaceuticals Inc.,64199039.0,837785,Decipher
06-10-2016,YngTrader,AUPH,"$AUPH I don&#39;t even have a position, I just want to see this stay above $5",19:45:03,Aurinia Pharmaceuticals Inc.,64199033.0,794686,YoungBull
06-10-2016,Donnie Pitts,AUPH,$AUPH Yup. Just passed 30mil in volume,19:45:00,Aurinia Pharmaceuticals Inc.,64199027.0,722428,LittleBigDonDon
06-10-2016,js,TWTR,$TWTR Was it a Friday the last time it opened up 20%?,19:47:46,Twitter,64199448.0,666549,js4
06-10-2016,infected_trader,TWTR,"@comexbackkid that&#39;s not true, I&#39;m a bull and I still believe that if $TWTR is going to sell at all its gonna be 30B+ = 40$+",19:47:45,Twitter,64199445.0,159083,Infected_trader
06-10-2016,BH112,AMZN,$AMZN This is going to surprise a lot of chasers soon. Just like $TWTR.,19:47:45,Amazon.com Inc.,64199443.0,802477,BH112
06-10-2016,BH112,TWTR,$AMZN This is going to surprise a lot of chasers soon. Just like $TWTR.,19:47:45,Twitter,64199443.0,802477,BH112
06-10-2016,Banana,TWTR,$TWTR Sponsor by Verizon ! A strategy which keep the user on twitter and manage Verizon acc s as well as transfer discounts ! 🐂💸,19:47:36,Twitter,64199430.0,843962,teambanana
06-10-2016,Arsen,TWTR,$TWTR I remember few days ago one of the bull said that PT was $80. I said ok,19:47:26,Twitter,64199396.0,839997,Arsenlupen
06-10-2016,Tadeo Armenta,TWTR,$TWTR buying below 19 tomorrow and wait for a couple weeks,19:47:12,Twitter,64199358.0,370779,Taap007
06-10-2016,Jabjab,TWTR,$TWTR  are you still dreaming? or awake?,19:47:06,Twitter,64199336.0,486877,Jabjab
06-10-2016,js,TWTR,$TWTR Bidding starts tonight according to sources? Yes or no?,19:46:54,Twitter,64199315.0,666549,js4
06-10-2016,mpelle,TWTR,"$TWTR double up under $20, Quadruple at $16",19:46:47,Twitter,64199294.0,748849,mpelle
06-10-2016,OptionWins,TWTR,"$TWTR there&#39;s no point for selling if you&#39;re at a big loss today. Wait for it to bounce back. If you sell, you will accept defeat....:)",19:45:51,Twitter,64199148.0,552525,OptionWins
